labels,id,props
[Airport],8627,"{id: 1, iata: ATL, location: point({srid:4326, x:-84.4281005859375, y:33.6366996765137}), runways: 5, altitude: 1026, icao: KATL, descr: Hartsfield - Jackson Atlanta International Airport, longest: 12390, city: Atlanta}"
[Airport],8628,"{id: 2, iata: ANC, location: point({srid:4326, x:-149.996002197266, y:61.1744003295898}), runways: 3, altitude: 151, icao: PANC, descr: Anchorage Ted Stevens, longest: 12400, city: Anchorage}"
[Airport],8629,"{id: 3, iata: AUS, location: point({srid:4326, x:-97.6698989868164, y:30.1944999694824}), runways: 2, altitude: 542, icao: KAUS, descr: Austin Bergstrom International Airport, longest: 12250, city: Austin}"
[Airport],8630,"{id: 4, iata: BNA, location: point({srid:4326, x:-86.6781997680664, y:36.1245002746582}), runways: 4, altitude: 599, icao: KBNA, descr: Nashville International Airport, longest: 11030, city: Nashville}"
[Airport],8631,"{id: 5, iata: BOS, location: point({srid:4326, x:-71.00520325, y:42.36429977}), runways: 6, altitude: 19, icao: KBOS, descr: Boston Logan, longest: 10083, city: Boston}"
[Airport],8632,"{id: 6, iata: BWI, location: point({srid:4326, x:-76.66829681, y:39.17539978}), runways: 3, altitude: 143, icao: KBWI, descr: Baltimore/Washington International Airport, longest: 10502, city: Baltimore}"
[Airport],8633,"{id: 7, iata: DCA, location: point({srid:4326, x:-77.0376968383789, y:38.8521003723145}), runways: 3, altitude: 14, icao: KDCA, descr: Ronald Reagan Washington National Airport, longest: 7169, city: Washington D.C.}"
[Airport],8634,"{id: 8, iata: DFW, location: point({srid:4326, x:-97.0380020141602, y:32.896800994873}), runways: 7, altitude: 607, icao: KDFW, descr: Dallas/Fort Worth International Airport, longest: 13401, city: Dallas}"
[Airport],8635,"{id: 9, iata: FLL, location: point({srid:4326, x:-80.152702331543, y:26.0725994110107}), runways: 2, altitude: 64, icao: KFLL, descr: Fort Lauderdale/Hollywood International Airport, longest: 9000, city: Fort Lauderdale}"
[Airport],8636,"{id: 10, iata: IAD, location: point({srid:4326, x:-77.45580292, y:38.94449997}), runways: 4, altitude: 313, icao: KIAD, descr: Washington Dulles International Airport, longest: 11500, city: Washington D.C.}"
[Airport],8637,"{id: 11, iata: IAH, location: point({srid:4326, x:-95.3414001464844, y:29.9843997955322}), runways: 5, altitude: 96, icao: KIAH, descr: George Bush Intercontinental, longest: 12001, city: Houston}"
[Airport],8638,"{id: 12, iata: JFK, location: point({srid:4326, x:-73.77890015, y:40.63980103}), runways: 4, altitude: 12, icao: KJFK, descr: New York John F. Kennedy International Airport, longest: 14511, city: New York}"
[Airport],8639,"{id: 13, iata: LAX, location: point({srid:4326, x:-118.4079971, y:33.94250107}), runways: 4, altitude: 127, icao: KLAX, descr: Los Angeles International Airport, longest: 12091, city: Los Angeles}"
[Airport],8640,"{id: 14, iata: LGA, location: point({srid:4326, x:-73.87259674, y:40.77719879}), runways: 2, altitude: 20, icao: KLGA, descr: New York La Guardia, longest: 7003, city: New York}"
[Airport],8641,"{id: 15, iata: MCO, location: point({srid:4326, x:-81.3089981079102, y:28.4293994903564}), runways: 4, altitude: 96, icao: KMCO, descr: Orlando International Airport, longest: 12005, city: Orlando}"
[Airport],8642,"{id: 16, iata: MIA, location: point({srid:4326, x:-80.2906036376953, y:25.7931995391846}), runways: 4, altitude: 8, icao: KMIA, descr: Miami International Airport, longest: 13016, city: Miami}"
[Airport],8643,"{id: 17, iata: MSP, location: point({srid:4326, x:-93.2218017578, y:44.8819999695}), runways: 4, altitude: 841, icao: KMSP, descr: Minneapolis-St.Paul International Airport, longest: 11006, city: Minneapolis}"
[Airport],8644,"{id: 18, iata: ORD, location: point({srid:4326, x:-87.90480042, y:41.97859955}), runways: 7, altitude: 672, icao: KORD, descr: Chicago O'Hare International Airport, longest: 13000, city: Chicago}"
[Airport],8645,"{id: 19, iata: PBI, location: point({srid:4326, x:-80.0955963134766, y:26.6832008361816}), runways: 3, altitude: 19, icao: KPBI, descr: Palm Beach International Airport, longest: 10000, city: West Palm Beach}"
[Airport],8646,"{id: 20, iata: PHX, location: point({srid:4326, x:-112.012001037598, y:33.4342994689941}), runways: 3, altitude: 1135, icao: KPHX, descr: Phoenix Sky Harbor International Airport, longest: 11489, city: Phoenix}"
[Airport],8647,"{id: 21, iata: RDU, location: point({srid:4326, x:-78.7874984741211, y:35.8776016235352}), runways: 3, altitude: 435, icao: KRDU, descr: Raleigh-Durham, longest: 10000, city: Raleigh}"
[Airport],8648,"{id: 22, iata: SEA, location: point({srid:4326, x:-122.30899810791, y:47.4490013122559}), runways: 3, altitude: 432, icao: KSEA, descr: Seattle-Tacoma, longest: 11901, city: Seattle}"
[Airport],8649,"{id: 23, iata: SFO, location: point({srid:4326, x:-122.375, y:37.6189994812012}), runways: 4, altitude: 13, icao: KSFO, descr: San Francisco International Airport, longest: 11870, city: San Francisco}"
[Airport],8650,"{id: 24, iata: SJC, location: point({srid:4326, x:-121.929000854492, y:37.3625984191895}), runways: 3, altitude: 62, icao: KSJC, descr: Norman Y. Mineta San Jose International Airport, longest: 11000, city: San Jose}"
[Airport],8651,"{id: 25, iata: TPA, location: point({srid:4326, x:-82.533203125, y:27.9755001068115}), runways: 3, altitude: 26, icao: KTPA, descr: Tampa International Airport, longest: 11002, city: Tampa}"
[Airport],8652,"{id: 26, iata: SAN, location: point({srid:4326, x:-117.190002441, y:32.7336006165}), runways: 1, altitude: 16, icao: KSAN, descr: San Diego Lindbergh, longest: 9400, city: San Diego}"
[Airport],8653,"{id: 27, iata: LGB, location: point({srid:4326, x:-118.1520004, y:33.81769943}), runways: 3, altitude: 60, icao: KLGB, descr: Long Beach Airport, longest: 10003, city: Long Beach}"
[Airport],8654,"{id: 28, iata: SNA, location: point({srid:4326, x:-117.8679962, y:33.67570114}), runways: 2, altitude: 56, icao: KSNA, descr: Orange County/Santa Ana, John Wayne, longest: 5701, city: Santa Ana}"
[Airport],8655,"{id: 29, iata: SLC, location: point({srid:4326, x:-111.977996826172, y:40.7883987426758}), runways: 4, altitude: 56, icao: KSLC, descr: Salt Lake City, longest: 12002, city: Salt Lake City}"
[Airport],8656,"{id: 30, iata: LAS, location: point({srid:4326, x:-115.1520004, y:36.08010101}), runways: 4, altitude: 2181, icao: KLAS, descr: Las Vegas Mc Carran, longest: 14512, city: Las Vegas}"
[Airport],8657,"{id: 31, iata: DEN, location: point({srid:4326, x:-104.672996520996, y:39.8616981506348}), runways: 6, altitude: 5433, icao: KDEN, descr: Denver International Airport, longest: 16000, city: Denver}"
[Airport],8658,"{id: 32, iata: HPN, location: point({srid:4326, x:-73.7076034545898, y:41.0670013427734}), runways: 2, altitude: 439, icao: KHPN, descr: Westchester County, longest: 6549, city: White Plains}"
[Airport],8659,"{id: 33, iata: SAT, location: point({srid:4326, x:-98.4698028564453, y:29.5337009429932}), runways: 3, altitude: 809, icao: KSAT, descr: San Antonio, longest: 8505, city: San Antonio}"
[Airport],8660,"{id: 34, iata: MSY, location: point({srid:4326, x:-90.2580032348633, y:29.9934005737305}), runways: 2, altitude: 3, icao: KMSY, descr: New Orleans L. Armstrong, longest: 10104, city: New Orleans}"
